c1_name,c2_name,c2_url,c3_sub_category_count,priority_score,is_top_20_percent
Fashion Muslim,Aksesoris Muslim,https://www.blibli.com/c2/aksesoris-muslim/AK-1000371,8,Medium,False
Fashion Pria,Aneka Aksesoris Pria,https://www.blibli.com/c2/aneka-aksesoris-pria/AK-1000025,8,Medium,False
Fashion Pria,Pakaian Pria,https://www.blibli.com/c2/baju-atasan-formal-pria/BA-1000008,8,Medium,False
Fashion Pria,Sepatu & Sandal Pria,https://www.blibli.com/c2/sepatu-sandal-pria/SE-1000008,8,Medium,False
Fashion Wanita,Pakaian,https://www.blibli.com/c2/pakaian-wanita/PA-1000010,8,Medium,False
Home & Living,Furniture Kantor,https://www.blibli.com/c2/furniture-kantor/FU-1000005,8,Medium,False
Home & Living,Perlengkapan Ruang Makan,https://www.blibli.com/c2/perlengkapan-ruang-makan/PE-1000013,8,Medium,False
Kamera,Aksesoris Kamera,https://www.blibli.com/c2/aksesoris-kamera-digital/AK-1000004,8,Medium,False
"Mainan, Buku & Stationery",Action Figure & Statue,https://www.blibli.com/c2/action-figure-statue/AC-1000004,8,Medium,False
"Mainan, Buku & Stationery",Majalah,https://www.blibli.com/c2/majalah/MA-1000002,8,Medium,False
"Ticket, Vouchers & Travel",Jasa,https://www.blibli.com/c2/jasa/JA-1000128,8,Medium,False
Fashion Muslim,Hijab & Jilbab,https://www.blibli.com/c2/hijab-jilbab/HI-1000101,7,Medium,False
Handphone & Tablet,Wearable Gadget,https://www.blibli.com/c2/wearable-gadget/WE-1000001,7,Medium,False
Home & Living,Furniture Ruang Makan & Dapur,https://www.blibli.com/c2/furniture-ruang-makan-dapur/FU-1000006,7,Medium,False
Kesehatan & Kecantikan,Kutek & Perawatan Kuku,https://www.blibli.com/c2/kutek-perawatan-kuku/KU-1000018,7,Medium,False
Kesehatan & Kecantikan,Perawatan Rambut,https://www.blibli.com/c2/perawatan-rambut/PE-1000100,7,Medium,False
Kesehatan & Kecantikan,Perawatan Wajah,https://www.blibli.com/c2/perawatan-wajah/PE-1000098,7,Medium,False
Komputer & Gaming,Komputer,https://www.blibli.com/c2/komputer/KO-1000005,7,Medium,False
Komputer & Gaming,Media Penyimpanan,https://www.blibli.com/c2/media-penyimpanan/ME-1000002,7,Medium,False
Logam Mulia & Perhiasan,Perhiasan Emas & Berlian,https://www.blibli.com/c2/perhiasan-emas-berlian/PE-1000538,7,Medium,False
"Mainan, Buku & Stationery",Aneka Boneka,https://www.blibli.com/c2/aneka-boneka/AN-1000004,7,Medium,False
Peralatan Elektronik,"Cooling, Heating & Air Quality",https://www.blibli.com/c2/cooling-heating-air-quality/PE-1000014,7,Medium,False
Peralatan Elektronik,Home Appliances,https://www.blibli.com/c2/home-appliances/HO-1000004,7,Medium,False
Bliblimart,Perawatan Kulit Tubuh,https://www.blibli.com/c2/perawatan-kulit-tubuh/PE-1000641,6,Medium,False
Fashion Muslim,Dress Muslim Wanita,https://www.blibli.com/c2/dress-muslim-wanita/DR-1000065,6,Medium,False
Fashion Pria,Baju Batik & Etnik,https://www.blibli.com/c2/baju-batik-etnik-pria/BA-1000011,6,Medium,False
Fashion Pria,Luxury,https://www.blibli.com/c2/luxury/LU-1000054,6,Medium,False
Home & Living,Furniture Anak,https://www.blibli.com/c2/furniture-anak/FU-1000003,6,Medium,False
Home & Living,Hobby & Interest,https://www.blibli.com/c2/hobby-interest/HO-1000003,6,Medium,False
Kesehatan & Kecantikan,Pengharum & Parfum,https://www.blibli.com/c2/pengharum-parfum/PE-1000104,6,Medium,False
Kesehatan & Kecantikan,Peralatan Medis,https://www.blibli.com/c2/peralatan-medis/PE-1000102,6,Medium,False
Kesehatan & Kecantikan,Vitamin & Suplemen,https://www.blibli.com/c2/vitamin-suplemen/VI-1000052,6,Medium,False
Olahraga & Aktivitas Luar Ruang,Tas Olahraga,https://www.blibli.com/c2/tas-olahraga/OL-1000028,6,Medium,False
Peralatan Elektronik,Smart Home & Security,https://www.blibli.com/c2/smart-home-security/SM-1000028,6,Medium,False
Bliblimart,Kuliner Internasional,https://www.blibli.com/c2/kuliner-internasional/KU-1000077,5,Medium,False
Bliblimart,"Roti, Sereal & Selai",https://www.blibli.com/c2/roti-sereal-selai/RO-1000049,5,Medium,False
Fashion Muslim,Pakaian Muslim Anak Perempuan,https://www.blibli.com/c2/pakaian-muslim-anak-perempuan/PA-1000341,5,Medium,False
Fashion Muslim,Pakaian Muslim Pria,https://www.blibli.com/c2/pakaian-muslim-pria/PA-1000339,5,Medium,False
Fashion Pria,Celana Pria,https://www.blibli.com/c2/bawahan-pria/BA-1000016,5,Medium,False
Fashion Wanita,Batik & Etnik Wanita,https://www.blibli.com/c2/batik-etnik-wanita/BA-1000026,5,Medium,False
Fashion Wanita,Pakaian Ibu Hamil & Menyusui,https://www.blibli.com/c2/pakaian-ibu-hamil-menyusui/PA-1000050,5,Medium,False
Handphone & Tablet,Handphone,https://www.blibli.com/c2/handphone/HA-1000002,5,Medium,False
Home & Living,Furniture Jepara,https://www.blibli.com/c2/furniture-jepara/FU-1000051,5,Medium,False
Kesehatan & Kecantikan,Alat Penata Rambut,https://www.blibli.com/c2/alat-penata-rambut/PR-1000013,5,Medium,False
Kesehatan & Kecantikan,Diet & Nutrisi,https://www.blibli.com/c2/diet-nutrisi/OB-1000001,5,Medium,False
Kesehatan & Kecantikan,Make Up,https://www.blibli.com/c2/make-up/MA-1000015,5,Medium,False
Kesehatan & Kecantikan,Perawatan Pria,https://www.blibli.com/c2/perawatan-pria/PE-1000105,5,Medium,False
"Mainan, Buku & Stationery",Hobi & Koleksi,https://www.blibli.com/c2/hobi-koleksi/HO-1000072,5,Medium,False
"Mainan, Buku & Stationery",Model Kit,https://www.blibli.com/c2/model-kit/MO-1000004,5,Medium,False
Olahraga & Aktivitas Luar Ruang,Pakaian Olahraga Lainnya,https://www.blibli.com/c2/pakaian-olahraga-lainnya/BA-1000025,5,Medium,False
"Ticket, Vouchers & Travel",Voucher Belanja,https://www.blibli.com/c2/voucher-belanja/VO-1000052,5,Medium,False
Fashion Muslim,Baju Olahraga Muslim,https://www.blibli.com/c2/baju-olahraga-muslim/BA-1000523,4,Medium,False
Fashion Muslim,Bawahan Muslim Wanita,https://www.blibli.com/c2/bawahan-muslim-wanita/BA-1000513,4,Medium,False
Fashion Muslim,Outwear Muslim Wanita,https://www.blibli.com/c2/outwear-muslim-wanita/OU-1000016,4,Medium,False
Fashion Pria,Tas Pria,https://www.blibli.com/c2/tas-dompet-pria/TA-1000013,4,Medium,False
Fashion Wanita,Luxury,https://www.blibli.com/c2/luxury/LU-1000053,4,Medium,False
Home & Living,Hewan Peliharaan & Pet Supplies,https://www.blibli.com/c2/hewan-peliharaan-pet-supplies/HE-1000002,4,Medium,False
Home & Living,Jam,https://www.blibli.com/c2/jam/JA-1000003,4,Medium,False
Kamera,Kamera Digital,https://www.blibli.com/c2/kamera-digital/KA-1000002,4,Medium,False
Kamera,Tas & Case,https://www.blibli.com/c2/tas-case/TA-1000006,4,Medium,False
Komputer & Gaming,Perlengkapan Kantor,https://www.blibli.com/c2/perlengkapan-kantor/PE-1000005,4,Medium,False
Logam Mulia & Perhiasan,Logam Mulia,https://www.blibli.com/c2/logam-mulia/LO-1000028,4,Medium,False
"Mainan, Buku & Stationery","Sepeda, Skuter & Ride-On",https://www.blibli.com/c2/sepeda-skuter-ride-on/BI-1000003,4,Medium,False
"Mainan, Buku & Stationery","TCG, Games & Puzzles",https://www.blibli.com/c2/tcg-games-puzzles/GA-1000005,4,Medium,False
Otomotif,Audio & Video Mobil,https://www.blibli.com/c2/audio-video-mobil/AU-1000005,4,Medium,False
"Ticket, Vouchers & Travel",Edukasi,https://www.blibli.com/c2/edukasi/ED-1000027,4,Medium,False
"Ticket, Vouchers & Travel",Tiket Atraksi & Hiburan,https://www.blibli.com/c2/tiket-atraksi-hiburan/TI-1000110,4,Medium,False
"Ticket, Vouchers & Travel",Tour & Travel Essentials,https://www.blibli.com/c2/tour-travel/TO-1000064,4,Medium,False
"Ticket, Vouchers & Travel",Voucher Makan,https://www.blibli.com/c2/voucher-makan/VO-1000054,4,Medium,False
Bliblimart,21+,https://www.blibli.com/c2/21/21-1000002,3,Medium,False
Bliblimart,Telur,https://www.blibli.com/c2/telur/TE-1000100,3,Medium,False
Fashion Muslim,Atasan Muslim Wanita,https://www.blibli.com/c2/atasan-muslim-wanita/AT-1000004,3,Medium,False
Fashion Muslim,Pakaian Muslim Anak Laki,https://www.blibli.com/c2/pakaian-muslim-anak-laki/PA-1000337,3,Medium,False
Fashion Pria,Pakaian Dalam & Tidur,https://www.blibli.com/c2/pakaian-dalam-tidur-pria/PA-1000005,3,Medium,False
Handphone & Tablet,Tablet,https://www.blibli.com/c2/tablet/TA-1000003,3,Medium,False
Home & Living,Travelling,https://www.blibli.com/c2/travelling/TR-1000004,3,Medium,False
Jam Tangan,Aksesoris Jam Tangan,https://www.blibli.com/c2/aksesoris-jam-tangan/AK-1000005,3,Medium,False
Kamera,Kamera Video,https://www.blibli.com/c2/kamera-video/KA-1000004,3,Medium,False
Kesehatan & Kecantikan,P3K,https://www.blibli.com/c2/p3k/OB-1000002,3,Medium,False
Kesehatan & Kecantikan,Salon Profesional & Spa,https://www.blibli.com/c2/salon-profesional-spa/SA-1000007,3,Medium,False
Komputer & Gaming,Multimedia,https://www.blibli.com/c2/multimedia/MU-1000001,3,Medium,False
Komputer & Gaming,Printer & Refill,https://www.blibli.com/c2/printer-refill/PR-1000001,3,Medium,False
"Mainan, Buku & Stationery",Diecast & Remote Control,https://www.blibli.com/c2/die-cast-r-c/DI-1000005,3,Medium,False
"Mainan, Buku & Stationery",Mainan Bayi & Balita,https://www.blibli.com/c2/mainan-bayi-balita/MA-1000338,3,Medium,False
"Mainan, Buku & Stationery",Permainan Aksi & Luar Ruang,https://www.blibli.com/c2/permainan-aksi-luar-ruang/PE-1000026,3,Medium,False
Olahraga & Aktivitas Luar Ruang,Aksesoris Olahraga,https://www.blibli.com/c2/aksesoris-olahraga/BA-1000024,3,Medium,False
Olahraga & Aktivitas Luar Ruang,Pakaian Olahraga Anak,https://www.blibli.com/c2/pakaian-olahraga-anak/PA-1000515,3,Medium,False
Olahraga & Aktivitas Luar Ruang,Sepatu Olahraga Anak,https://www.blibli.com/c2/sepatu-olahraga-anak/SE-1000581,3,Medium,False
Otomotif,Mobil,https://www.blibli.com/c2/mobil/MO-1000063,3,Medium,False
